"","x"
"1","The National Cancer Institute Cancer Prevention Fellowship Program fellows are listed below in alphabetical order by last name."
"2","Prajakta Adsul"
"3","Year of entry 2016"
"4","Doctoral degree PhD, Public Health Studies, Saint Louis University, (2014)"
"5","MPH 2011, Epidemiology, Behavioral Sciences Saint Louis University"
"6","MBBS 2007, Medicine and Surgery, Maharashtra University of Health Sciences, Loni, India"
"7","Research Interests Implementation research, Global health, Health disparities, Socio-Behavioral and Health care delivery research. "
"8","Primary Preceptor/Branch David Chambers/Division of Cancer Control & Population Sciences/Office of the Director"
"9","Shelley Bluethmann"
"10","Year of entry 2014"
"11","Doctoral degree PhD, University of Texas, (2014)"
"12","MPH (if applicable) University of North Carolina, 2007"
"13","Research Interests Optimizing healthy aging in older cancer survivors, including the role of physical activity in mitigating cancer symptoms, improving co-morbidities, and enhancing quality of life."
"14","Primary Preceptor/Branch William Klein/Behavioral Research Program, Health Behaviors Research Branch"
"15","Megan Clarke"
"16","Year of entry 2016"
"17","Doctoral degree PhD, Cancer Epidemiology, Johns Hopkins University, Baltimore, MD (2016)"
"18","MHS, 2016, Biochemistry/Molecular Biology, Johns Hopkins University, Baltimore, MD"
"19","Research Interests Biomarker discovery and validation for early detection and prevention of gynecological cancers, risk prediction, translational epidemiology."
"20","Primary Preceptor/Branch Nicolas Wentzensen/Division of Cancer Epidemiology & Genetics/Clinical Genetics Branch"
"21","Diarmuid Coughlan"
"22","Year of Entry 2015"
"23","PhD, Health Economics, National University of Ireland, Galway, Ireland, (2014)"
"24","MPH N/A"
"25","Research Interests The economic burden of end-of-life cancer care stratifying by cancer type, stage of diagnosis and geographic location."
"26","Primary Preceptor/Branch Angela Mariotto/Division of Cancer Control & Population Sciences/Surveillance Research Program/Surveillance Informatics Branch"
"27","Brittny Davis"
"28","Year of entry 2015"
"29","Doctoral degree PhD, Chemistry, University of Maryland Baltimore County, (2015)"
"30","MPH Johns Hopkins University, 2016"
"31","Research Interests Modeling of national breast cancer trends, racial and geographic disparities in breast cancer, as well as risk prediction."
"32","Primary Preceptor/Branch William Anderson/Division of Cancer Epidemiology and Genetics/Biostatistics Branch"
"33","Maryam Doroudi"
"34","Year of Entry 2015"
"35","PhD, Molecular Biology, Georgia Institute of Technology, (2013)"
"36","MPH Johns Hopkins University, 2015"
"37","Research Interests Evaluate clinical and economic outcomes related to cancer screening and cancer treatment; Evaluating medical overuse; De-implementation Research."
"38","Primary Preceptor/Branch Paul Pinsky/Division of Cancer Prevention/Early Detection Research Group</p>"
"39","Danielle Durham"
"40","Year of entry 2016"
"41","Doctoral degree PhD, Epidemiology, The University of North Carolina at Chapel Hill, Chapel Hill, NC (2015)"
"42","MHS, 2008, Community Health Education, The University of North Carolina at Greensboro, Greensboro, NC"
"43","Research Interests Breast Cancer Epidemiology, Screening, Health Disparities, Health Services Research, Outcomes."
"44","Primary Preceptor/Branch Pamela Marcus/Division of Cancer Control & Population Sciences (DCCPS)/Epidemiology and Genomics Research Program"
"45","Erin Ellis"
"46","Year of Entry 2015"
"47","PhD, Community Health and Health Behavior, University at Buffalo, (2014) "
"48","MPH Johns Hopkins University, 2015"
"49","Research Interests The role of affect and emotion in health decision making; dual process models of cognition; risk perceptions as they relate to cancer screening and other behavioral risk factors."
"50","Primary Preceptor/Branch Rebecca Ferrer/Behavioral Research Program/Basic Biobehavioral and Psychological Sciences Branch"
"51","Felisa Gonzales"
"52","Year of entry 2013"
"53","Doctoral degree PhD, Applied Social Psychology, George Washington University, (2013)"
"54","MPH (if applicable) University of California – Berkeley, 2014 "
"55","Research Interests Disparities in cancer screening, treatment, and survival; health services research; health policy."
"56","Primary Preceptor/Branch Steve Taplin/Healthcare Delivery Research Program, Health Systems and Interventions Research Branch"
"57","Melinda Krakow"
"58","Year of entry 2015"
"59","Doctoral degree PhD, Health Communication, University of Utah, (2015)"
"60","MPH Johns Hopkins University, 2016"
"61","Research Interests Public health communication; narrative persuasion and media effects in the contexts of cancer prevention and screening; communication in healthcare systems; media coverage of cancer/science journalism."
"62","Primary Preceptor/Branch Brad Hesse/Division of Cancer Control & Population Sciences/Health Communication and Informatics Research Branch"
"63","Tamara Litwin"
"64","Year of entry 2015"
"65","Doctoral degree PhD, Biological Studies, University of Cambridge (United Kingdom), (2014)"
"66","MPH Johns Hopkins University, 2016"
"67","Research Interests Biomarker discovery and translation for prevention and early detection of gynecologic cancers, clinical trial design and implementation."
"68","Primary Preceptor/Branch Nicolas Wentzensen/Division of Cancer Epidemiology and Genetics/Clinical Genetics Branch"
"69","Claire Meaney"
"70","Year of Entry 2015"
"71","PhD, Biomedical Engineering, University of Limerick, (2013)"
"72","MPH University College Dublin, 2015"
"73","Research Interests The identification of biomarkers and molecular mechanisms associated with increased cancer risk and survival; the characterization of tumor microenvironment and its role in cancer progression; the development of 3D, tissue-mimetic models for cell behavior analysis."
"74","Primary Preceptor/Branch Brid Ryan/Center for Cancer Research/Human Carcinogenes Implementation Science"
"75","Jennifer Moss"
"76","Year of Entry 2015"
"77","PhD, Health Behavior, University of North Carolina, (2015)"
"78","MSPH University of North Carolina, 2012 (MPH)s"
"79","Research Interests Geographic disparities in cancer prevention behaviors, especially for HPV vaccination."
"80","Primary Preceptor/Branch Kathy Cronin/Division of Cancer Control & Population Sciences/Surveillance Research Program"
"81","Maeve Mullooly"
"82","Year of entry 2013"
"83","Doctoral degree PhD, Translational Medicine – Tumor Biology, University College Dublin, (2013)"
"84","MPH (if applicable) University College Dublin, 2014"
"85","Research Interests The molecular epidemiology of risk factors for breast cancer, especially mammographic breast density, and molecular mechanisms that drive its association with increased cancer risk."
"86","Primary Preceptor/Branch Gretchen Gierach/Hormonal and Reproductive Epidemiology Branch"
